type,year,condition,length_ft,beam_ft,hullMaterial,fuelType,numEngines,totalHP,price
1,2016,2,17,16.13,1,3,1,0,16495
1,2005,2,20,16.13,1,1,1,0,10500
1,2019,1,25,9,1,3,1,0,81476
1,2015,2,20,16.13,1,3,1,0,21995
1,2015,2,35,16.13,1,3,2,0,219900
1,1986,2,17,8,2,3,1,0,14900
1,2018,2,28,8.17,1,1,1,0,84900
1,2010,2,20,16.13,1,3,1,0,20000
1,1995,2,25,16.13,1,3,1,0,16995
1,2006,2,38,16.13,1,3,2,0,179000
1,1992,2,20,8.08,1,1,1,0,5995
1,1999,2,22,16.13,1,3,1,0,9450
1,2008,2,18,16.13,2,3,1,0,14999
1,2019,1,20,8.5,1,3,1,0,120802
1,2001,2,18,16.13,1,1,1,0,9995
1,1985,2,34,12,1,1,2,0,17995
1,1998,2,32,10.83,1,1,2,0,39900
1,2019,1,16,7,1,1,1,0,22712
1,2007,2,28,9.67,1,1,2,0,57995
1,2012,2,23,16.13,1,3,1,0,19995
1,2019,1,21,9,1,3,1,0,69205
1,2020,1,22,8.5,1,3,1,0,133368
1,2020,1,24,8.42,1,3,1,0,85409
1,2001,2,17,7.33,1,1,1,0,5999
1,1977,2,46,16,1,2,2,0,59900
1,2019,1,21,102,1,3,1,0,132158
1,2018,2,18,8.17,1,3,1,0,39900
1,1999,2,18,16.13,1,3,1,0,6995
1,2006,2,21,8,1,3,1,0,15995
1,2019,1,22,9,1,3,1,0,38916
1,2001,2,38,16.13,1,3,2,0,94995
1,2020,1,21,8.33,1,1,2,0,62126
1,2019,1,22,8.5,1,3,1,0,128733
1,2019,1,22,8.5,1,3,1,0,34271
1,2014,2,20,16.13,1,3,1,0,18995
1,1978,2,32,13,1,3,2,0,15900
1,1995,2,25,16.13,1,3,1,0,13995
1,2020,1,25,8.33,1,1,2,0,84932
1,2019,1,23,8.5,1,3,1,0,145825
1,1990,2,36,16.13,1,3,2,0,39900
1,1999,2,33,9.92,1,3,2,0,26995
1,1998,2,21,8.5,1,3,1,0,11995
1,2019,1,19,8.5,1,3,1,0,27995
1,1986,2,30,16.13,1,3,2,0,15500
1,2005,2,39,16.13,1,1,2,0,159900
1,2015,2,19,16.13,1,3,1,0,29995
1,1983,2,48,15,1,3,2,0,180000
1,2017,2,22,16.13,1,3,1,0,32995
1,2019,1,23,8.6,1,3,1,0,59521
1,2006,2,20,16.13,1,3,1,0,15995
1,2020,1,18,7.42,1,3,1,0,38223
1,2020,1,19,8,1,1,1,0,45029
1,1990,2,40,13.5,1,3,2,0,29900
1,2003,2,19,16.13,1,3,1,0,3997
1,2016,2,34,10.42,1,3,2,0,199995
1,1994,2,24,8.5,1,3,1,0,11999
1,1995,2,24,16.13,1,1,1,0,9995
1,2018,1,35,11.5,1,3,2,0,209941
1,2012,2,33,16.13,1,1,2,0,165000
1,2008,2,34,11.5,1,1,2,0,139999
1,2003,2,23,16.13,1,3,1,0,23615
1,2003,2,18,8.58,1,3,1,0,8999
1,2004,2,19,16.13,1,3,1,0,17995
1,2019,1,22,9,1,3,1,0,53742
1,2005,2,26,16.13,1,1,1,0,19995
1,2016,2,19,16.13,1,3,1,0,32995
1,2019,1,20,8.17,1,3,1,0,104871
1,1987,2,33,11.83,1,3,2,0,22995
1,2019,1,24,9,1,3,1,0,66915
1,2016,2,19,16.13,1,3,1,0,28500
1,2020,1,21,8.17,1,3,1,0,132280
1,2019,1,20,8.5,1,3,1,0,119174
1,2005,2,45,16.13,1,3,2,0,289495
1,2019,1,20,8.5,1,3,1,0,21891
1,2007,2,62,16.13,1,3,2,0,599900
1,2020,1,19,8.17,1,1,1,0,35788
1,2007,2,38,12.17,1,3,2,0,109900
1,1973,2,16,16.13,2,3,1,0,1995
1,2015,2,22,8.42,2,1,1,0,22000
1,1996,2,27,8.5,1,3,2,0,20997
1,2018,1,23,16.13,1,3,1,0,54960
1,1999,2,33,11.5,1,1,2,0,39950
1,2010,2,21,16.13,1,3,1,0,23997
1,1999,2,21,8,1,1,1,0,19995
1,2016,2,24,8.5,1,3,2,0,64900
1,1984,2,35,11.67,1,3,1,0,27900
1,2006,2,42,14.67,1,3,2,0,224900
1,2008,2,18,16.13,1,3,1,0,11995
1,2011,2,39,16.13,1,3,2,0,269000
1,2013,2,22,8.5,1,3,1,0,26995
1,2007,2,20,16.13,1,3,1,0,29997
1,1994,2,21,16.13,1,3,1,0,9500
1,2018,1,17,16.13,2,3,1,0,21259
1,1994,2,31,16.13,1,3,2,0,31995
1,2002,2,41,13,1,3,2,0,84500
1,1999,2,29,16.13,1,3,2,0,34500
1,2016,2,17,16.13,2,3,1,0,24995
1,2005,2,17,16.13,1,3,1,0,8995
1,2019,1,20,8,1,3,1,0,43264
1,1993,2,31,9.5,1,3,2,0,23995
1,2019,1,19,6.56,1,3,1,0,35273
1,2014,2,25,16.13,1,3,1,0,99500
1,2008,2,20,16.13,1,3,1,0,12995
1,2012,2,18,16.13,1,3,1,0,17495
1,2020,1,21,8.42,1,1,1,0,57227
1,2018,2,16,16.13,1,3,1,0,31995
1,2003,2,18,16.13,1,3,1,0,1495
1,2019,1,22,8.5,1,3,1,0,29866
1,1986,2,36,13,1,3,2,0,29995
1,2019,1,22,8.42,1,3,1,0,69043
1,2015,2,18,7.58,1,1,1,0,27995
1,2013,2,22,8.5,2,3,1,0,26995
1,2019,1,24,8.5,1,3,1,0,37550
1,2010,2,28,9,1,3,1,0,68500
1,2018,1,21,16.13,1,3,1,0,43826
1,2020,1,22,8.33,1,1,1,0,55168
1,1997,2,22,16.13,1,3,1,0,7997
1,2019,1,21,9,1,3,1,0,61650
1,1996,2,42,15,1,2,2,0,199000
1,2019,1,20,8.5,1,3,1,0,40804
1,1995,2,29,9.67,1,3,1,0,19995
1,1994,2,35,8.5,1,1,2,0,57900
1,2020,1,16,7.08,1,1,1,0,38571
1,2019,1,19,9.84,1,3,1,0,44188
1,2017,2,19,99,1,3,1,0,48900
1,2002,2,42,14.58,1,3,2,0,299000
1,2003,2,27,8.5,1,3,2,0,34989
1,2014,2,22,16.13,1,3,1,0,19997
1,2017,2,20,16.13,1,3,1,0,74995
1,2004,2,41,14.25,1,3,2,0,149995
1,2015,1,23,16.13,1,3,1,0,17995
1,1990,2,35,11.42,1,1,2,0,21995
1,2020,1,42,13.67,1,3,2,0,953350
1,2011,2,25,16.13,1,3,1,0,24995
1,2019,1,20,102,1,3,1,0,81166
1,2019,1,22,8.17,1,3,1,0,86217
1,1996,2,17,16.13,1,3,1,0,5500
1,1999,2,40,16.13,1,2,2,0,189900
1,2007,2,44,14.25,1,2,2,0,329900
1,2004,2,29,16.13,1,1,2,0,52900
1,2006,2,24,16.13,1,3,1,0,42995
1,1990,2,36,16.13,1,1,2,0,29995
1,2019,1,24,9,1,3,2,0,67394
1,2008,2,31,9.42,1,3,2,0,69900
1,2019,1,21,9,1,3,1,0,63585
1,2019,1,18,7.5,1,3,1,0,38528
1,2020,1,35,11.5,1,3,2,0,454597
1,2018,1,20,8.5,1,1,1,0,31195
1,2019,1,22,9.84,1,3,1,0,82942
1,1996,2,36,13.67,1,1,2,0,64000
1,2020,1,20,8.33,1,1,1,0,49321
1,2012,2,23,16.13,2,3,1,0,22995
1,1988,2,30,16.13,1,3,2,0,11900
1,2019,2,22,16.13,2,1,1,0,35900
1,2002,2,21,16.13,1,3,1,0,22995
1,2011,2,24,16.13,1,1,2,0,27995
1,2003,2,44,13.92,1,2,2,0,199999
1,2020,1,22,8.42,1,1,1,0,69646
1,2018,1,38,13.12,1,3,3,0,767770
1,2004,2,28,9,1,1,2,0,59000
1,2019,1,24,9,1,3,1,0,67179
1,1999,2,18,16.13,1,3,1,0,7995
1,2010,2,23,8.42,1,1,1,0,29900
1,2020,1,22,8.42,1,1,1,0,69646
1,2007,2,17,8,1,3,1,0,9995
1,2019,1,35,11.5,1,3,2,0,355975
1,2020,1,50,15,1,3,2,0,1507940
1,2017,2,18,16.13,1,1,1,0,34995
1,2019,1,18,8.4,1,3,1,0,35696
1,2003,2,21,16.13,1,3,1,0,12250
1,1998,2,18,16.13,1,3,1,0,8900
1,2019,1,16,7,1,1,1,0,28621
1,2020,1,25,8.33,1,1,2,0,85993
1,2019,1,20,8,1,3,1,0,45447
1,1994,2,28,10,1,3,2,0,14999
1,1989,2,20,7.83,1,3,1,0,8500
1,2019,1,22,8.17,1,3,1,0,81982
1,2019,1,22,9,1,3,1,0,51722
1,2017,2,20,16.13,2,1,1,0,19999
1,2020,1,20,8.33,1,1,1,0,49321
1,1988,2,31,11,1,3,2,0,19995
1,1999,2,18,16.13,1,3,1,0,5995
1,2017,2,16,16.13,1,1,1,0,15995
1,1987,2,38,14,1,3,2,0,34900
1,2005,2,31,16.13,1,3,2,0,74900
1,2019,1,24,9,1,3,1,0,60620
1,2019,2,19,8.42,1,1,1,0,28995
1,1988,2,26,16.13,1,3,2,0,16995
1,2019,1,22,8.5,1,3,1,0,29431
1,2005,2,18,16.13,1,3,1,0,10995
1,2004,2,26,16.13,1,3,1,0,15995
1,1996,2,29,16.13,1,3,1,0,29999
1,2000,2,38,13,1,3,2,0,109900
1,2004,2,40,14.33,1,3,2,0,179995
1,2000,2,19,16.13,1,3,1,0,8995
1,2007,2,18,16.13,1,3,1,0,14900
1,1998,2,20,8.33,1,3,1,0,10495
1,2019,1,19,8,1,3,1,0,49882
1,2019,1,21,9.84,1,3,2,0,47932
1,1980,2,24,16.13,1,1,1,0,9995
1,2020,1,19,7.92,1,3,1,0,40914
1,2019,1,24,9,1,3,2,0,67394
1,2019,1,24,9,1,3,2,0,65276
1,2011,2,20,16.13,1,3,1,0,28900
1,1995,2,33,16.13,1,1,2,0,48500
1,2020,1,22,8.42,1,1,1,0,69646
1,2019,1,23,9,1,3,1,0,70010
1,1989,2,32,11.42,1,3,2,0,27995
1,2005,2,21,16.13,1,1,1,0,19999
1,2019,1,22,9,1,3,1,0,49794
1,2019,1,22,8.5,1,3,1,0,41971
1,1999,2,34,16.13,1,3,2,0,69900
1,2000,2,22,7.67,1,1,1,0,19995
1,2015,2,19,8.17,1,1,1,0,43995
1,2009,2,44,16.13,1,3,2,0,269995
1,2005,2,29,8.25,1,1,1,0,59900
1,1997,2,30,10.17,1,3,2,0,22995
1,2003,2,22,8.42,1,1,1,0,19995
1,1984,2,38,14,1,1,2,0,41000
1,2019,1,20,9,1,3,1,0,44821
1,2011,2,28,8.83,1,3,1,0,82500
