2017,35,16.13,2,0,325995
2017,21,16.13,1,0,64995
2019,20,8.5,1,0,24971
2016,17,16.13,1,0,18995
2019,22,9,1,0,56150
1999,42,14,2,0,139000
1997,17,16.13,1,0,9900
1986,28,11.08,2,0,18995
1996,18,16.13,1,0,6995
2012,22,16.13,1,0,55995
1997,32,11,2,0,29995
2018,24,8.5,1,0,87971
2000,23,8.5,1,0,11995
2019,16,6.56,1,0,17401
2001,13,16.13,1,0,12995
2019,19,8.5,1,0,31971
1977,58,16.13,2,0,299000
2006,26,8.5,1,0,46900
1974,30,9.5,1,0,10500
2019,21,9,1,0,61650
1990,40,16.13,2,0,49900
2011,31,10,2,0,105000
2015,27,9,1,0,64900
2005,26,8.5,1,0,25000
2003,37,16.13,2,0,109995
1995,22,7.92,1,0,11995
2019,20,8.5,1,0,121251
1988,17,16.13,1,0,3995
2019,21,9,1,0,59696
2016,18,7.42,1,0,27995
2000,33,1.83,2,0,47995
2018,24,16.13,1,0,67532
2015,54,16.13,2,0,799995
2017,23,16.13,1,0,42995
2004,35,16.13,2,0,109495
2005,20,16.13,1,0,19995
2020,22,8.33,1,0,55168
2003,22,16.13,1,0,18995
1997,40,16.13,2,0,71640
2004,42,16.13,2,0,229900
2017,19,16.13,1,0,29900
2016,17,16.13,1,0,16495
2005,20,16.13,1,0,10500
2019,25,9,1,0,81476
2015,20,16.13,1,0,21995
2015,35,16.13,2,0,219900
1986,17,8,1,0,14900
2018,28,8.17,1,0,84900
2010,20,16.13,1,0,20000
1995,25,16.13,1,0,16995
2006,38,16.13,2,0,179000
1992,20,8.08,1,0,5995
1999,22,16.13,1,0,9450
2008,18,16.13,1,0,14999
2019,20,8.5,1,0,120802
2001,18,16.13,1,0,9995
1985,34,12,2,0,17995
1998,32,10.83,2,0,39900
2019,16,7,1,0,22712
2007,28,9.67,2,0,57995
2012,23,16.13,1,0,19995
2019,21,9,1,0,69205
2020,22,8.5,1,0,133368
2020,24,8.42,1,0,85409
2001,17,7.33,1,0,5999
1977,46,16,2,0,59900
2019,21,102,1,0,132158
2018,18,8.17,1,0,39900
1999,18,16.13,1,0,6995
2006,21,8,1,0,15995
2019,22,9,1,0,38916
2001,38,16.13,2,0,94995
2020,21,8.33,2,0,62126
2019,22,8.5,1,0,128733
2019,22,8.5,1,0,34271
2014,20,16.13,1,0,18995
1978,32,13,2,0,15900
1995,25,16.13,1,0,13995
2020,25,8.33,2,0,84932
2019,23,8.5,1,0,145825
1990,36,16.13,2,0,39900
1999,33,9.92,2,0,26995
1998,21,8.5,1,0,11995
2019,19,8.5,1,0,27995
1986,30,16.13,2,0,15500
2005,39,16.13,2,0,159900
2015,19,16.13,1,0,29995
1983,48,15,2,0,180000
2017,22,16.13,1,0,32995
2019,23,8.6,1,0,59521
2006,20,16.13,1,0,15995
2020,18,7.42,1,0,38223
2020,19,8,1,0,45029
1990,40,13.5,2,0,29900
2003,19,16.13,1,0,3997
2016,34,10.42,2,0,199995
1994,24,8.5,1,0,11999
1995,24,16.13,1,0,9995
2018,35,11.5,2,0,209941
2012,33,16.13,2,0,165000
2008,34,11.5,2,0,139999
2003,23,16.13,1,0,23615
2003,18,8.58,1,0,8999
2004,19,16.13,1,0,17995
2019,22,9,1,0,53742
2005,26,16.13,1,0,19995
2016,19,16.13,1,0,32995
2019,20,8.17,1,0,104871
1987,33,11.83,2,0,22995
2019,24,9,1,0,66915
2016,19,16.13,1,0,28500
2020,21,8.17,1,0,132280
2019,20,8.5,1,0,119174
2005,45,16.13,2,0,289495
2019,20,8.5,1,0,21891
2007,62,16.13,2,0,599900
2020,19,8.17,1,0,35788
2007,38,12.17,2,0,109900
1973,16,16.13,1,0,1995
2015,22,8.42,1,0,22000
1996,27,8.5,2,0,20997
2018,23,16.13,1,0,54960
1999,33,11.5,2,0,39950
2010,21,16.13,1,0,23997
1999,21,8,1,0,19995
2016,24,8.5,2,0,64900
1984,35,11.67,1,0,27900
2006,42,14.67,2,0,224900
2008,18,16.13,1,0,11995
2011,39,16.13,2,0,269000
2013,22,8.5,1,0,26995
2007,20,16.13,1,0,29997
1994,21,16.13,1,0,9500
2018,17,16.13,1,0,21259
1994,31,16.13,2,0,31995
2002,41,13,2,0,84500
1999,29,16.13,2,0,34500
2016,17,16.13,1,0,24995
2005,17,16.13,1,0,8995
2019,20,8,1,0,43264
1993,31,9.5,2,0,23995
2019,19,6.56,1,0,35273
2014,25,16.13,1,0,99500
2008,20,16.13,1,0,12995
2012,18,16.13,1,0,17495
2020,21,8.42,1,0,57227
2018,16,16.13,1,0,31995
2003,18,16.13,1,0,1495
2019,22,8.5,1,0,29866
1986,36,13,2,0,29995
2019,22,8.42,1,0,69043
2015,18,7.58,1,0,27995
2013,22,8.5,1,0,26995
2019,24,8.5,1,0,37550
2010,28,9,1,0,68500
2018,21,16.13,1,0,43826
2020,22,8.33,1,0,55168
1997,22,16.13,1,0,7997
2019,21,9,1,0,61650
1996,42,15,2,0,199000
2019,20,8.5,1,0,40804
1995,29,9.67,1,0,19995
1994,35,8.5,2,0,57900
2020,16,7.08,1,0,38571
2019,19,9.84,1,0,44188
2017,19,99,1,0,48900
2002,42,14.58,2,0,299000
2003,27,8.5,2,0,34989
2014,22,16.13,1,0,19997
2017,20,16.13,1,0,74995
2004,41,14.25,2,0,149995
2015,23,16.13,1,0,17995
1990,35,11.42,2,0,21995
